id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Cel Shaded Skater,Polybit,chiptune,energetic,0.88,140,0.90,0.85,0.10
12,LaShandra's Theme,Galactic Orchestra,cinematic,epic,0.72,115,0.40,0.35,0.80
13,Street Smart,DJ Apex,hip-hop,confident,0.85,95,0.65,0.92,0.12
14,Iron Fury,Skull Crusher,metal,angry,0.98,160,0.30,0.45,0.01
15,Velvet Night,Luna Rose,r&b,romantic,0.60,85,0.75,0.85,0.25
16,Dusty Roads,The Ramblers,country,nostalgic,0.55,105,0.60,0.55,0.65
17,Autumn Leaves,Silas Grey,folk,sad,0.30,75,0.25,0.40,0.88